Track file,C:\docs\ethovision\031202-1er-test-rat_0001\data\track_00521.trk
Object,0
Samples,619
WaterTemp,22,°C
RoomTemp,20.5,°C
New Label,,
New Label,,
Status,Acquired,
Trial duration,0000:00:00:49.520,dd:HH:mm:ss
Tracking profile,Tracking profile,
Arena,Piscine,
Track file,track_00521.trk,
Object,0,
Arena profile,Arena profile,
Start date & time,2006-02-20 10:34:21.640,yyyy-MM-dd HH:mm:ss
Stop date & time,2006-02-20 10:35:11.160,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,0,
Mobility high,0,
Movie file,,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [Zone Definition 2],ZONES [Zone Definition 3],Distance to zone [Arena],Distance moved,Velocity,Heading
1,0.00,208.10,56.54,635.00,E,Ext,Zone 1,0.00,-,-,-
2,0.08,210.15,58.92,472.00,E,Ext,Zone 1,0.00,3.14,39.25,139.40
3,0.16,212.19,59.94,393.00,E,Ext,Zone 1,0.00,2.28,28.56,116.57
4,0.24,212.87,59.94,329.00,E,Ext,Zone 1,0.00,0.68,8.51,90.00
5,0.32,213.21,59.26,286.00,E,Ext,Zone 1,0.00,0.76,9.52,26.57
6,0.40,213.21,59.26,260.00,E,Ext,Zone 1,0.00,0.00,0.00,-
7,0.48,213.21,59.26,208.00,E,Ext,Zone 1,0.00,0.00,0.00,-
8,0.56,213.55,59.60,155.00,E,Ext,Zone 1,0.00,0.48,6.02,135.00
9,0.64,213.21,59.26,132.00,E,Ext,Zone 1,0.00,0.48,6.02,315.00
10,0.72,212.53,60.28,123.00,E,Ext,Zone 1,0.00,1.23,15.35,213.69
11,0.80,211.51,61.99,102.00,E,Ext,Zone 1,0.00,1.99,24.82,210.96
12,0.88,210.49,63.69,89.00,E,Mid,Zone 1,0.00,1.99,24.82,210.96
13,0.96,208.78,65.05,85.00,E,Mid,Zone 1,0.00,2.18,27.26,231.34
14,1.04,206.74,66.42,95.00,E,Mid,Zone 1,0.00,2.46,30.70,236.31
15,1.12,205.38,66.07,172.00,E,Mid,Zone 1,0.00,1.40,17.55,284.04
16,1.20,205.04,66.07,225.00,E,Mid,Zone 1,0.00,0.34,4.26,270.00
17,1.28,203.67,66.42,270.00,E,Mid,Zone 1,0.00,1.40,17.55,255.96
18,1.36,203.33,66.42,364.00,E,Mid,Zone 1,0.00,0.34,4.26,270.00
19,1.44,202.65,66.76,423.00,E,Mid,Zone 1,0.00,0.76,9.52,243.43
20,1.52,201.63,67.10,499.00,E,Mid,Zone 1,0.00,1.08,13.46,251.57
21,1.60,200.61,67.44,534.00,E,Mid,Zone 1,0.00,1.08,13.46,251.57
22,1.68,199.25,68.12,596.00,E,Mid,Zone 1,0.00,1.52,19.04,243.43
23,1.76,197.88,68.80,633.00,E,Mid,Zone 1,0.00,1.52,19.04,243.43
24,1.84,196.18,68.80,633.00,E,Mid,Zone 1,0.00,1.70,21.29,270.00
25,1.92,194.48,68.80,595.00,E,Mid,Zone 1,0.00,1.70,21.29,270.00
26,2.00,191.75,68.12,568.00,E,Mid,Zone 1,0.00,2.81,35.11,284.04
27,2.08,189.71,67.44,602.00,E,Center,Zone 1,0.00,2.15,26.93,288.43
28,2.16,187.33,66.76,594.00,E,Center,Zone 1,0.00,2.48,30.99,285.95
29,2.24,185.28,65.73,585.00,E,Center,Zone 1,0.00,2.28,28.56,296.57
30,2.32,183.24,64.37,582.00,E,Center,Zone 1,0.00,2.46,30.70,303.69
31,2.40,181.54,62.67,583.00,E,Center,Zone 1,0.00,2.41,30.10,315.00
32,2.48,179.15,60.97,589.00,E,Center,Zone 1,0.00,2.93,36.62,305.54
33,2.56,177.45,59.26,608.00,E,Center,Zone 1,0.00,2.41,30.10,315.00
34,2.64,176.09,57.56,621.00,E,Center,Zone 1,0.00,2.18,27.26,321.34
35,2.72,174.04,55.86,629.00,E,Center,Zone 1,0.00,2.66,33.25,309.81
36,2.80,173.02,53.81,575.00,E,Center,Zone 1,0.00,2.28,28.56,333.43
37,2.88,172.00,51.43,627.00,E,Center,Zone 1,0.00,2.59,32.42,336.80
38,2.96,170.64,49.05,633.00,E,Center,Zone 1,0.00,2.75,34.32,330.26
39,3.04,169.27,46.66,661.00,E,Mid,Zone 1,0.00,2.75,34.32,330.26
40,3.12,167.91,44.28,647.00,E,Mid,Zone 1,0.00,2.75,34.32,330.26
41,3.20,166.21,41.89,636.00,N,Mid,Zone 1,0.00,2.93,36.62,324.46
42,3.28,164.85,39.85,635.00,N,Mid,Zone 1,0.00,2.46,30.70,326.31
43,3.36,163.14,38.15,639.00,N,Mid,Zone 1,0.00,2.41,30.10,315.00
44,3.44,160.76,35.76,632.00,N,Mid,Zone 1,0.00,3.37,42.15,315.00
45,3.52,158.38,33.72,661.00,N,Mid,Zone 1,0.00,3.14,39.25,310.60
46,3.60,156.33,31.68,648.00,N,Mid,Zone 1,0.00,2.89,36.13,315.00
47,3.68,153.95,29.97,629.00,N,Mid,Zone 1,0.00,2.93,36.62,305.54
48,3.76,151.90,28.27,636.00,N,Mid,Zone 1,0.00,2.66,33.25,309.81
49,3.84,149.52,26.23,595.00,N,Mid,Zone 1,0.00,3.14,39.25,310.60
50,3.92,146.80,24.52,605.00,N,Mid,Zone 1,0.00,3.21,40.16,302.01
51,4.00,144.41,22.82,610.00,N,Mid,Zone 1,0.00,2.93,36.62,305.54
52,4.08,142.03,21.12,582.00,N,Ext,Zone 1,0.00,2.93,36.62,305.54
53,4.16,139.30,19.75,556.00,N,Ext,Zone 1,0.00,3.05,38.08,296.57
54,4.24,136.58,18.39,554.00,N,Ext,Zone 1,0.00,3.05,38.08,296.57
55,4.32,134.19,17.37,501.00,N,Ext,Zone 1,0.00,2.59,32.42,293.20
56,4.40,131.13,16.35,375.00,N,Ext,Zone 1,0.00,3.23,40.39,288.43
57,4.48,129.43,16.69,330.00,N,Ext,Zone 1,0.00,1.74,21.71,258.69
58,4.56,128.06,17.03,288.00,N,Ext,Zone 1,0.00,1.40,17.55,255.96
59,4.64,127.04,17.37,218.00,N,Ext,Zone 1,0.00,1.08,13.46,251.57
60,4.72,125.00,17.71,162.00,N,Ext,Zone 1,0.00,2.07,25.90,260.54
61,4.80,122.95,18.39,116.00,N,Ext,Zone 1,0.00,2.15,26.93,251.57
62,4.88,123.29,19.07,195.00,N,Ext,Zone 1,0.00,0.76,9.52,153.43
63,4.96,122.61,19.41,258.00,N,Ext,Zone 1,0.00,0.76,9.52,243.43
64,5.04,122.95,19.41,353.00,N,Ext,Zone 1,0.00,0.34,4.26,90.00
65,5.12,122.27,19.07,364.00,N,Ext,Zone 1,0.00,0.76,9.52,296.57
66,5.20,121.25,19.07,369.00,N,Ext,Zone 1,0.00,1.02,12.77,270.00
67,5.28,121.25,19.75,365.00,N,Ext,Zone 1,0.00,0.68,8.51,180.00
68,5.36,121.59,20.44,387.00,N,Ext,Zone 1,0.00,0.76,9.52,153.43
69,5.44,121.59,20.78,395.00,N,Ext,Zone 1,0.00,0.34,4.26,180.00
70,5.52,121.93,20.78,396.00,N,Ext,Zone 1,0.00,0.34,4.26,90.00
71,5.60,121.93,20.09,363.00,N,Ext,Zone 1,0.00,0.68,8.51,0.00
72,5.68,121.59,18.73,326.00,N,Ext,Zone 1,0.00,1.40,17.55,345.96
73,5.76,121.59,18.05,316.00,N,Ext,Zone 1,0.00,0.68,8.51,0.00
74,5.84,121.25,17.71,306.00,N,Ext,Zone 1,0.00,0.48,6.02,315.00
75,5.92,120.91,17.37,283.00,N,Ext,Zone 1,0.00,0.48,6.02,315.00
76,6.00,120.57,17.37,266.00,N,Ext,Zone 1,0.00,0.34,4.26,270.00
77,6.08,120.91,17.71,213.00,N,Ext,Zone 1,0.00,0.48,6.02,135.00
78,6.16,120.91,17.03,180.00,N,Ext,Zone 1,0.00,0.68,8.51,0.00
79,6.24,120.91,17.03,127.00,N,Ext,Zone 1,0.00,0.00,0.00,-
80,6.32,121.25,17.71,103.00,N,Ext,Zone 1,0.00,0.76,9.52,153.43
81,6.40,122.61,17.71,82.00,N,Ext,Zone 1,0.00,1.36,17.03,90.00
82,6.48,123.29,18.05,93.00,N,Ext,Zone 1,0.00,0.76,9.52,116.57
83,6.56,123.98,18.05,85.00,N,Ext,Zone 1,0.00,0.68,8.51,90.00
84,6.64,125.00,18.05,83.00,N,Ext,Zone 1,0.00,1.02,12.77,90.00
85,6.72,124.66,18.05,106.00,N,Ext,Zone 1,0.00,0.34,4.26,270.00
86,6.80,125.00,18.05,126.00,N,Ext,Zone 1,0.00,0.34,4.26,90.00
87,6.88,126.02,19.07,179.00,N,Ext,Zone 1,0.00,1.45,18.06,135.00
88,6.96,127.38,19.75,204.00,N,Ext,Zone 1,0.00,1.52,19.04,116.57
89,7.04,128.74,20.44,295.00,N,Ext,Zone 1,0.00,1.52,19.04,116.57
90,7.12,129.43,21.46,362.00,N,Ext,Zone 1,0.00,1.23,15.35,146.31
91,7.20,130.79,21.80,387.00,N,Ext,Zone 1,0.00,1.40,17.55,104.04
92,7.28,131.81,22.14,390.00,N,Mid,Zone 1,0.00,1.08,13.46,108.43
93,7.36,133.51,22.48,430.00,N,Mid,Zone 1,0.00,1.74,21.71,101.31
94,7.44,135.56,22.82,383.00,N,Mid,Zone 1,0.00,2.07,25.90,99.46
95,7.52,136.92,23.16,367.00,N,Mid,Zone 1,0.00,1.40,17.55,104.04
96,7.60,138.62,23.16,391.00,N,Mid,Zone 1,0.00,1.70,21.29,90.00
97,7.68,140.32,22.48,368.00,N,Mid,Zone 1,0.00,1.83,22.93,68.20
98,7.76,141.69,21.80,363.00,N,Mid,Zone 1,0.00,1.52,19.04,63.43
99,7.84,143.39,20.78,321.00,N,Ext,Zone 1,0.00,1.99,24.82,59.04
100,7.92,144.41,20.09,327.00,N,Ext,Zone 1,0.00,1.23,15.35,56.31
101,8.00,145.43,19.07,344.00,N,Ext,Zone 1,0.00,1.45,18.06,45.00
102,8.08,146.45,18.39,344.00,N,Ext,Zone 1,0.00,1.23,15.35,56.31
103,8.16,147.48,18.05,334.00,N,Ext,Zone 1,0.00,1.08,13.46,71.57
104,8.24,148.16,18.05,314.00,N,Ext,Zone 1,0.00,0.68,8.51,90.00
105,8.32,148.84,18.05,280.00,N,Ext,Zone 1,0.00,0.68,8.51,90.00
106,8.40,149.52,19.07,254.00,N,Ext,Zone 1,0.00,1.23,15.35,146.31
107,8.48,150.54,20.78,235.00,N,Ext,Zone 1,0.00,1.99,24.82,149.04
108,8.56,151.56,22.48,222.00,N,Mid,Zone 1,0.00,1.99,24.82,149.04
109,8.64,151.90,24.86,200.00,N,Mid,Zone 1,0.00,2.41,30.10,171.87
110,8.72,151.90,26.57,182.00,N,Mid,Zone 1,0.00,1.70,21.29,180.00
111,8.80,151.90,27.59,205.00,N,Mid,Zone 1,0.00,1.02,12.77,180.00
112,8.88,151.56,28.27,241.00,N,Mid,Zone 1,0.00,0.76,9.52,206.57
113,8.96,151.90,29.63,269.00,N,Mid,Zone 1,0.00,1.40,17.55,165.96
114,9.04,151.90,30.31,314.00,N,Mid,Zone 1,0.00,0.68,8.51,180.00
115,9.12,152.24,31.33,353.00,N,Mid,Zone 1,0.00,1.08,13.46,161.57
116,9.20,152.59,32.70,382.00,N,Mid,Zone 1,0.00,1.40,17.55,165.96
117,9.28,153.27,33.72,440.00,N,Mid,Zone 1,0.00,1.23,15.35,146.31
118,9.36,153.95,35.42,452.00,N,Mid,Zone 1,0.00,1.83,22.93,158.20
119,9.44,154.97,36.44,477.00,N,Mid,Zone 1,0.00,1.45,18.06,135.00
120,9.52,155.99,38.15,457.00,N,Mid,Zone 1,0.00,1.99,24.82,149.04
121,9.60,157.01,39.51,471.00,N,Mid,Zone 1,0.00,1.70,21.29,143.13
122,9.68,158.03,41.21,444.00,N,Mid,Zone 1,0.00,1.99,24.82,149.04
123,9.76,159.40,42.57,463.00,N,Mid,Zone 1,0.00,1.93,24.08,135.00
124,9.84,160.76,44.28,463.00,N,Center,Zone 1,0.00,2.18,27.26,141.34
125,9.92,162.46,45.30,460.00,N,Center,Zone 1,0.00,1.99,24.82,120.96
126,10.00,163.82,46.66,472.00,N,Center,Zone 1,0.00,1.93,24.08,135.00
127,10.08,165.53,47.68,478.00,E,Center,Zone 1,0.00,1.99,24.82,120.96
128,10.16,167.57,49.05,482.00,E,Center,Zone 1,0.00,2.46,30.70,123.69
129,10.24,168.93,50.07,518.00,E,Center,Zone 1,0.00,1.70,21.29,126.87
130,10.32,171.32,51.43,514.00,E,Center,Zone 1,0.00,2.75,34.32,119.74
131,10.40,173.36,52.45,517.00,E,Center,Zone 1,0.00,2.28,28.56,116.57
132,10.48,174.72,53.81,527.00,E,Center,Zone 1,0.00,1.93,24.08,135.00
133,10.56,177.11,55.18,516.00,E,Center,Zone 1,0.00,2.75,34.32,119.74
134,10.64,178.81,56.54,549.00,E,Center,Zone 1,0.00,2.18,27.26,128.66
135,10.72,179.83,57.56,591.00,E,Center,Zone 1,0.00,1.45,18.06,135.00
136,10.80,181.88,59.60,554.00,E,Center,Zone 1,0.00,2.89,36.13,135.00
137,10.88,183.58,61.99,569.00,E,Center,Zone 1,0.00,2.93,36.62,144.46
138,10.96,184.94,63.35,572.00,E,Center,Zone 1,0.00,1.93,24.08,135.00
139,11.04,185.96,65.05,606.00,E,Center,Zone 1,0.00,1.99,24.82,149.04
140,11.12,187.67,67.78,567.00,E,Center,Zone 1,0.00,3.21,40.16,147.99
141,11.20,188.69,69.82,571.00,E,Center,Zone 1,0.00,2.28,28.56,153.43
142,11.28,190.05,71.86,627.00,E,Center,Zone 1,0.00,2.46,30.70,146.31
143,11.36,191.75,74.93,557.00,E,Center,Zone 1,0.00,3.51,43.83,150.95
144,11.44,193.12,77.31,571.00,E,Center,Zone 1,0.00,2.75,34.32,150.26
145,11.52,194.14,79.36,611.00,E,Center,Zone 1,0.00,2.28,28.56,153.43
146,11.60,195.50,82.42,542.00,E,Center,Zone 1,0.00,3.35,41.93,156.04
147,11.68,196.86,84.81,529.00,E,Center,Zone 1,0.00,2.75,34.32,150.26
148,11.76,198.22,87.87,531.00,E,Center,Zone 1,0.00,3.35,41.93,156.04
149,11.84,198.91,90.26,515.00,E,Mid,Zone 1,0.00,2.48,30.99,164.05
150,11.92,200.95,94.00,445.00,E,Mid,Zone 1,0.00,4.27,53.35,151.39
151,12.00,202.65,96.73,422.00,E,Mid,Zone 1,0.00,3.21,40.16,147.99
152,12.08,204.01,99.11,408.00,E,Mid,Zone 1,0.00,2.75,34.32,150.26
153,12.16,205.38,101.16,469.00,E,Mid,Zone 1,0.00,2.46,30.70,146.31
154,12.24,207.76,103.54,397.00,E,Mid,Zone 1,0.00,3.37,42.15,135.00
155,12.32,208.78,104.56,408.00,E,Mid,Zone 1,0.00,1.45,18.06,135.00
156,12.40,211.85,106.26,345.00,E,Mid,Zone 1,0.00,3.51,43.83,119.05
157,12.48,213.89,107.29,293.00,E,Mid,Zone 1,0.00,2.28,28.56,116.57
158,12.56,215.94,108.65,288.00,E,Mid,Zone 1,0.00,2.46,30.70,123.69
159,12.64,217.98,108.99,301.00,E,Mid,Zone 1,0.00,2.07,25.90,99.46
160,12.72,220.02,109.67,290.00,E,Ext,Zone 1,0.00,2.15,26.93,108.43
161,12.80,221.38,110.35,262.00,E,Ext,Zone 1,0.00,1.52,19.04,116.57
162,12.88,223.09,110.69,216.00,E,Ext,Zone 1,0.00,1.74,21.71,101.31
163,12.96,222.75,110.35,234.00,E,Ext,Zone 1,0.00,0.48,6.02,315.00
164,13.04,222.07,110.69,227.00,E,Ext,Zone 1,0.00,0.76,9.52,243.43
165,13.12,221.73,111.37,183.00,E,Ext,Zone 1,0.00,0.76,9.52,206.57
166,13.20,220.70,112.05,129.00,E,Ext,Zone 1,0.00,1.23,15.35,236.31
167,13.28,219.34,113.08,87.00,E,Ext,Zone 1,0.00,1.70,21.29,233.13
168,13.36,217.30,114.10,52.00,E,Mid,Zone 1,0.00,2.28,28.56,243.43
169,13.44,-,-,-,-,-,-,-,-,-,-
170,13.52,-,-,-,-,-,-,-,-,-,-
171,13.60,213.89,113.76,60.00,E,Mid,Zone 1,0.00,-,-,-
172,13.68,212.87,112.74,93.00,E,Mid,Zone 1,0.00,1.45,18.06,315.00
173,13.76,211.85,112.05,126.00,E,Mid,Zone 1,0.00,1.23,15.35,303.69
174,13.84,212.19,111.71,173.00,E,Mid,Zone 1,0.00,0.48,6.02,45.00
175,13.92,211.85,111.71,216.00,E,Mid,Zone 1,0.00,0.34,4.26,270.00
176,14.00,210.83,111.71,273.00,E,Mid,Zone 1,0.00,1.02,12.77,270.00
177,14.08,209.80,112.40,290.00,E,Mid,Zone 1,0.00,1.23,15.35,236.31
178,14.16,208.78,113.08,302.00,E,Mid,Zone 1,0.00,1.23,15.35,236.31
179,14.24,207.42,114.78,306.00,E,Mid,Zone 1,0.00,2.18,27.26,218.66
180,14.32,206.06,116.82,287.00,E,Mid,Zone 1,0.00,2.46,30.70,213.69
181,14.40,205.04,118.19,270.00,E,Mid,Zone 1,0.00,1.70,21.29,216.87
182,14.48,203.67,120.57,274.00,E,Mid,Zone 1,0.00,2.75,34.32,209.74
183,14.56,202.99,122.61,266.00,E,Mid,Zone 1,0.00,2.15,26.93,198.43
184,14.64,202.31,123.98,327.00,E,Mid,Zone 1,0.00,1.52,19.04,206.57
185,14.72,201.97,125.68,321.00,E,Mid,Zone 1,0.00,1.74,21.71,191.31
186,14.80,201.63,127.72,329.00,E,Mid,Zone 1,0.00,2.07,25.90,189.46
187,14.88,200.61,130.11,353.00,E,Mid,Zone 1,0.00,2.59,32.42,203.20
188,14.96,200.27,132.15,332.00,S,Mid,Zone 1,0.00,2.07,25.90,189.46
189,15.04,199.59,134.19,351.00,S,Mid,Zone 1,0.00,2.15,26.93,198.43
190,15.12,198.91,136.58,335.00,S,Mid,Zone 1,0.00,2.48,30.99,195.95
191,15.20,198.57,139.30,328.00,S,Mid,Zone 1,0.00,2.75,34.32,187.13
192,15.28,198.57,141.69,312.00,S,Mid,Zone 1,0.00,2.38,29.80,180.00
193,15.36,198.91,144.07,291.00,S,Mid,Zone 1,0.00,2.41,30.10,171.87
194,15.44,199.25,146.80,279.00,S,Mid,Zone 1,0.00,2.75,34.32,172.87
195,15.52,199.59,148.84,241.00,S,Mid,Zone 1,0.00,2.07,25.90,170.54
196,15.60,199.59,150.88,231.00,S,Ext,Zone 1,0.00,2.04,25.54,180.00
197,15.68,199.93,153.27,218.00,S,Ext,Zone 1,0.00,2.41,30.10,171.87
198,15.76,200.27,155.31,213.00,S,Ext,Zone 1,0.00,2.07,25.90,170.54
199,15.84,199.93,155.99,186.00,S,Ext,Zone 1,0.00,0.76,9.52,206.57
200,15.92,198.57,156.33,151.00,S,Ext,Zone 1,0.00,1.40,17.55,255.96
201,16.00,196.52,155.99,152.00,S,Ext,Zone 1,0.00,2.07,25.90,279.46
202,16.08,194.48,155.65,135.00,S,Ext,Zone 1,0.00,2.07,25.90,279.46
203,16.16,192.09,155.65,108.00,S,Mid,Zone 1,0.00,2.38,29.80,270.00
204,16.24,190.39,155.31,99.00,S,Mid,Zone 1,0.00,1.74,21.71,281.31
